feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
3046,dna-private,25,16,9,8052,754,0.16647347794888778,-2.5866357450949877,0.00014701349505559757,0.64,0.36,6.137591276259506e-74
3047,dna-private,99,63,36,8005,727,0.1589319175515303,-2.6535192114264206,1.5363579217062288e-14,0.6363636363636364,0.36363636363636365,6.137591276259506e-74
3048,dna-private,116,104,12,7964,751,0.8172610078687427,-0.29113119078629485,0.5039896077963983,0.896551724137931,0.10344827586206896,1.3486175434808079e-64
3049,dna-private,167,140,27,7928,736,0.4813693612886347,-1.0547837763479775,0.0012441082639329582,0.8383233532934131,0.16167664670658682,6.137591276259506e-74
3050,dna-private,42,37,5,8031,758,0.6984435313161499,-0.5177846154492549,0.40660776219771855,0.8809523809523809,0.11904761904761904,1.3486175434808079e-64
3051,shared,17,16,1,8052,762,1.5141579731743666,0.5985157305719824,1.0,0.9411764705882353,0.058823529411764705,1.499676973186056e-14
3052,dna-private,507,488,19,7580,744,2.5209831967782255,1.3339865021688782,1.3461845276347117e-05,0.9625246548323472,0.03747534516765286,6.137591276259506e-74
3053,prot-private,31,31,0,8037,763,5.984510108864697,2.581233153194096,0.10691894429686633,1.0,0.0,6.137591276259506e-74
3054,dna-private,36,35,1,8033,762,3.3200547740570148,1.731207043261528,0.3656725407212863,0.9722222222222222,0.027777777777777776,1.3486175434808079e-64
3055,shared,12,11,1,8057,762,1.0403375946382027,0.05705176594078467,1.0,0.9166666666666666,0.08333333333333333,1.499676973186056e-14
3056,shared,32,32,0,8036,763,6.175262863186711,2.626500549384666,0.10839836940242864,1.0,0.0,6.137591276259506e-74
3057,dna-private,20,20,0,8048,763,3.8893582655153134,1.9595321337374263,0.4103003441798839,1.0,0.0,1.3486175434808079e-64
3058,shared,37,33,4,8035,759,0.7793092719352831,-0.3597321137885364,0.5570142951867847,0.8918918918918919,0.10810810810810811,6.388400221161359e-26
3059,dna-private,59,52,7,8016,756,0.7005988023952096,-0.5133395728906478,0.3504617436888584,0.8813559322033898,0.11864406779661017,1.3486175434808079e-64
3060,dna-private,10,9,1,8059,762,0.8509740662613228,-0.2328129289529579,0.59509736615207,0.9,0.1,6.388400221161359e-26
