feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
135,dna-private,39,34,5,8034,758,0.6415733134179736,-0.640313961511398,0.3819673631645426,0.8717948717948718,0.1282051282051282,0.7088054161816254
137,prot-private,16,14,2,8054,761,0.6614104792649615,-0.5963821913846045,0.6433648787155277,0.875,0.125,0.8944167861510463
138,dna-private,27,26,1,8042,762,2.463566277045511,1.3007482848340537,0.7259809616915744,0.9629629629629629,0.037037037037037035,0.9324526113469763
139,prot-private,18,17,1,8051,762,1.6089926717177991,0.6861577552096091,1.0,0.9444444444444444,0.05555555555555555,1.0
140,prot-private,18,18,0,8050,763,3.509036705794671,1.8110750389315806,0.39580838671128105,1.0,0.0,0.7127945220431836
141,dna-private,71,67,4,8001,759,1.588957630296213,0.6680806556011564,0.5225147863081439,0.9436619718309859,0.056338028169014086,0.8347869367053186
142,dna-private,11,9,2,8059,761,0.424928651197419,-1.2347074729427345,0.24486416172403402,0.8181818181818182,0.18181818181818182,0.5452454052117999
143,dna-private,13,12,1,8056,762,1.1350546176762661,0.18276172020769355,1.0,0.9230769230769231,0.07692307692307693,1.0
144,prot-private,28,21,7,8047,756,0.2818441655275258,-1.827030392413128,0.008260486769425156,0.75,0.25,0.05169642382189916
145,prot-private,10,10,0,8058,763,1.9896382701495317,0.9925061627800148,1.0,1.0,0.0,1.0
148,dna-private,237,211,26,7857,737,0.7612369175943059,-0.3935825654105898,0.1967652561855332,0.890295358649789,0.10970464135021098,0.482655852291574
149,prot-private,16,15,1,8053,762,1.4193468272693406,0.5052271650451089,1.0,0.9375,0.0625,1.0
150,prot-private,14,14,0,8054,763,2.748960208579055,1.4588860238748205,0.6261069302735234,1.0,0.0,0.8877285057891666
152,dna-private,43,34,9,8034,754,0.35454872348076233,-1.4959441929687753,0.009926131263223923,0.7906976744186046,0.20930232558139536,0.05965147245625824
153,prot-private,61,41,20,8027,743,0.18975333250280305,-2.3978028719973477,8.67560837099875e-08,0.6721311475409836,0.32786885245901637,2.755781482552544e-06
154,prot-private,44,43,1,8025,762,4.082990654205608,2.029626265298392,0.17742282268571727,0.9772727272727273,0.022727272727272728,0.44562011279203406
155,dna-private,179,158,21,7910,742,0.7057732827644332,-0.5027232773410083,0.13884943920212128,0.88268156424581,0.11731843575418995,0.37950172102965907
156,dna-private,60,57,3,8011,760,1.802521532892273,0.8500164939800197,0.48531791239479105,0.95,0.05,0.7996956010690106
157,prot-private,48,46,2,8022,761,2.181874844178509,1.1255683487460493,0.43485333151682726,0.9583333333333334,0.041666666666666664,0.7509116460180937
158,dna-private,39,34,5,8034,758,0.6415733134179736,-0.640313961511398,0.3819673631645426,0.8717948717948718,0.1282051282051282,0.7088054161816254
159,dna-private,25,22,3,8046,760,0.692683735189328,-0.5297312963785412,0.4725039628434682,0.88,0.12,0.7854287509007519
160,prot-private,147,139,8,7929,755,1.6544488586202548,0.7263506965732227,0.1841090581290563,0.9455782312925171,0.05442176870748299,0.45966462333410363
161,dna-private,10,7,3,8061,760,0.21998924864574287,-2.1844950770669267,0.04865901572148691,0.7,0.3,0.18597682449668407
162,dna-private,50,42,8,8026,755,0.4938636929977573,-1.0178151837887939,0.073779988843333,0.84,0.16,0.2503486156443436
163,prot-private,10,9,1,8059,762,0.8509740662613228,-0.2328129289529579,0.59509736615207,0.9,0.1,0.8877285057891666
164,dna-private,28,25,3,8043,760,0.787434207799743,-0.344768707319201,0.7304102003319707,0.8928571428571429,0.10714285714285714,0.935915443137237
165,prot-private,10,9,1,8059,762,0.8509740662613228,-0.2328129289529579,0.59509736615207,0.9,0.1,0.8877285057891666
