feature,concept,confidence,modality,n_active,path_rate,top_gene,top_sub
1095,hydrophobicity-switch,0.54,protein-driven,946,0.55,RET,S>L
905,hydrophobicity-switch,0.54,novel,308,0.83,KCND3,L>W
282,hydrophobicity-switch,0.54,novel,464,0.76,COL1A1,R>G
1948,proline-introduction (helix breaker),0.54,novel,60,0.7,STAT1,Q>P
393,collagen Gly-X-Y disruption,0.54,dna-driven,373,1.0,COL1A2,G>C
1076,hydrophobicity-switch,0.54,novel,459,0.56,ITGB3,D>V
318,hydrophobicity-switch,0.54,protein-driven,148,0.5,SPR,P>L
231,cysteine-gain (novel disulfide/redox),0.54,novel,681,0.96,GAA,R>C
1731,hydrophobicity-switch,0.54,cross-modal,734,0.95,SCN1A,M>R
1673,charge-reversal,0.54,novel,921,0.88,PTPN11,D>H
1801,hydrophobicity-switch,0.54,cross-modal,1098,0.19,FBN1,I>T
32,hydrophobicity-switch,0.54,novel,150,0.65,MAPT,C>S
1703,hydrophobicity-switch,0.53,dna-driven,84,0.8,DCHS1,I>K
44,hydrophobicity-switch,0.53,novel,457,0.22,PTEN,D>V
1729,hydrophobicity-switch,0.53,novel,655,0.72,FBN1,L>P
255,hydrophobicity-switch,0.53,novel,1630,0.51,FBN1,C>R
248,hydrophobicity-switch,0.53,dna-driven,135,0.9,SLCO2A1,I>S
492,cysteine-loss (disulfide disruption),0.53,dna-driven,60,0.8,FBN1,C>S
522,hydrophobicity-switch,0.53,cross-modal,180,1.0,PRPS1,Q>P
699,hydrophobicity-switch,0.53,novel,112,0.7,AVPR2,V>G
330,proline-introduction (helix breaker),0.53,dna-driven,20,0.6,ALG6,S>P
1038,hydrophobicity-switch,0.53,novel,41,0.9,ETFDH,E>K
452,hydrophobicity-switch,0.53,dna-driven,31,0.85,ALG12,V>G
952,aromatic-loss (pi-stacking disruption),0.53,novel,313,0.58,SCN1A,F>L
1282,hydrophobicity-switch,0.53,dna-driven,132,0.95,MLH1,S>G
1544,hydrophobicity-switch,0.53,novel,835,0.69,OTC,P>L
1033,proline-introduction (helix breaker),0.53,cross-modal,529,0.98,OTC,L>P
607,hydrophobicity-switch,0.52,novel,311,0.97,SDHB,R>G
893,hydrophobicity-switch,0.52,novel,1298,0.38,MLH1,M>R
1928,proline-introduction (helix breaker),0.52,dna-driven,343,0.94,CNGA3,S>P
984,hydrophobicity-switch,0.52,novel,632,0.7,FBN1,L>R
1917,hydrophobicity-switch,0.52,protein-driven,681,0.76,RS1,G>V
337,cysteine-gain (novel disulfide/redox),0.52,dna-driven,752,0.85,RAG1,R>C
1524,hydrophobicity-switch,0.52,cross-modal,978,0.93,GLA,D>V
281,hydrophobicity-switch,0.51,novel,806,0.51,F8,L>S
652,aromatic-loss (pi-stacking disruption),0.51,novel,674,0.7,OTC,F>S
1170,hydrophobicity-switch,0.51,cross-modal,2649,0.75,COL3A1,G>R
690,collagen Gly-X-Y disruption,0.35,novel,901,0.87,COL7A1,G>D
138,collagen Gly-X-Y disruption,0.27,cross-modal,249,0.92,COL3A1,G>D
